,Names,Prices,Ratings,Images
0,"REDMI A5 (Jaisalmer Gold, 128 GB)","₹8,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/g/o/-original-imahb56zdk5ybj9r.jpeg?q=70
1,"REDMI A5 (Jaisalmer Gold, 64 GB)","₹7,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/g/o/-original-imahb56zdk5ybj9r.jpeg?q=70
2,"REDMI A4 (Sparkle Purple, 128 GB)","₹10,578",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/l/l/a4-24116rnc1i-redmi-original-imahjt7cumwpdasg.jpeg?q=70
3,"REDMI A5  - Locked with Airtel Prepaid (Just Black, 64 GB)","₹7,499",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/t/t/-original-imahfvkvb5xrpgr3.jpeg?q=70
4,"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","₹13,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/t/l/-original-imahg2z9zy2ea2py.jpeg?q=70
5,"REDMI A5 (Just Black, 64 GB)","₹7,999",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/4/r/-original-imahb56zdgszp7tg.jpeg?q=70
6,"REDMI A5  - Locked with Airtel Prepaid (Jaisalmer Gold, 64 GB)","₹7,499",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/v/z/-original-imahfvkvg6zmu5mj.jpeg?q=70
7,"REDMI A4 (Sparkle Purple, 64 GB)","₹9,985",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/u/a/a4-24116rnc1i-redmi-original-imahghhcmx9gnb3f.jpeg?q=70
8,"REDMI A4 (Starry Black, 128 GB)","₹10,299",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/f/a4-5g-a4-5g-redmi-original-imah6yhdg9kpnzgd.jpeg?q=70
9,"REDMI A4 (Starry Black, 64 GB)","₹9,930",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/f/a4-5g-a4-5g-redmi-original-imah6yhdg9kpnzgd.jpeg?q=70
